basket_type,n_stocks,stocks,ticker,weight
Thomas-style,3,CVE|OXY|VLO,CVE,0.3053511717242302
Thomas-style,3,CVE|OXY|VLO,OXY,0.2946384978621381
Thomas-style,3,CVE|OXY|VLO,VLO,0.40001033041363177
Thomas-style,3,OXY|SU|VLO,OXY,0.22814550643881487
Thomas-style,3,OXY|SU|VLO,SU,0.47812801179174486
Thomas-style,3,OXY|SU|VLO,VLO,0.29372648176944033
Thomas-style,3,IMO|OXY|VLO,IMO,0.44245908867667694
Thomas-style,3,IMO|OXY|VLO,OXY,0.25832734964915566
Thomas-style,3,IMO|OXY|VLO,VLO,0.2992135616741675
Thomas-style,3,ENB|OXY|VLO,ENB,0.43312215912863783
Thomas-style,3,ENB|OXY|VLO,OXY,0.29007382661530984
Thomas-style,3,ENB|OXY|VLO,VLO,0.27680401425605244
Thomas-style,3,OXY|TRP|VLO,OXY,0.31108496764458227
Thomas-style,3,OXY|TRP|VLO,TRP,0.38124566883794403
Thomas-style,3,OXY|TRP|VLO,VLO,0.3076693635174738
Thomas-style,3,OXY|PBA|VLO,OXY,0.27368794029489313
Thomas-style,3,OXY|PBA|VLO,PBA,0.46635099907608163
Thomas-style,3,OXY|PBA|VLO,VLO,0.2599610606290252
Thomas-style,3,OXY|VLO|WMB,OXY,0.27436054769495183
Thomas-style,3,OXY|VLO|WMB,VLO,0.28671660974110563
Thomas-style,3,OXY|VLO|WMB,WMB,0.4389228425639426
Thomas-style,3,CNQ|EQT|MPC,CNQ,0.5078974122379238
Thomas-style,3,CNQ|EQT|MPC,EQT,0.07551805077908474
Thomas-style,3,CNQ|EQT|MPC,MPC,0.41658453698299136
Thomas-style,3,CVE|EQT|MPC,CVE,0.3575358927844991
Thomas-style,3,CVE|EQT|MPC,EQT,0.13357305357933894
Thomas-style,3,CVE|EQT|MPC,MPC,0.5088910536361619
Thomas-style,3,EQT|MPC|SU,EQT,0.09984483629701442
Thomas-style,3,EQT|MPC|SU,MPC,0.39032362804087845
Thomas-style,3,EQT|MPC|SU,SU,0.5098315356621071
Thomas-style,3,EQT|IMO|MPC,EQT,0.11183968423080524
Thomas-style,3,EQT|IMO|MPC,IMO,0.4733313072123427
Thomas-style,3,EQT|IMO|MPC,MPC,0.4148290085568521
Thomas-style,3,ENB|EQT|MPC,ENB,0.4438764005910297
Thomas-style,3,ENB|EQT|MPC,EQT,0.08293491484315675
Thomas-style,3,ENB|EQT|MPC,MPC,0.4731886845658136
Thomas-style,3,EQT|MPC|TRP,EQT,0.09272892621413356
Thomas-style,3,EQT|MPC|TRP,MPC,0.531451333929954
Thomas-style,3,EQT|MPC|TRP,TRP,0.3758197398559124
Thomas-style,3,EQT|MPC|PBA,EQT,0.07501383760579648
Thomas-style,3,EQT|MPC|PBA,MPC,0.43278834684491185
