stock_1,stock_2,observations,correlation,volatility_1,volatility_2,volatility_difference,return_difference_std
BKR,FANG,2296,0.6330909172429279,0.025216969272738986,0.032513742956569225,0.007296773683830238,0.02559099439932511
CVX,SLB,11250,0.6327610322378405,0.016864239744931748,0.022837641171496014,0.005973401426564266,0.017848191983489834
WDS,CNQ,4806,0.6326468488756801,0.02493510518267522,0.027642564826548824,0.0027074596438736026,0.022665867351085042
HAL,PSX,3611,0.6322831222747761,0.026920870037332952,0.021123561127816888,0.005797308909516064,0.021256151232269177
EOG,OXY,9288,0.6321827773534813,0.02424920941011204,0.023680354460597117,0.0005688549495149221,0.02056080910243133
E,CVE,4215,0.6314526150086014,0.018244762245741925,0.02927519107143669,0.011030428825694764,0.022701687347093137
TS,CVX,5958,0.6310346028262594,0.02520614781485461,0.017267259651577535,0.007938888163277074,0.01960111617450609
FTI,TS,5958,0.6310206150099492,0.027399173435886992,0.02520614781485461,0.002193025621032383,0.022681800350037612
BKR,CVE,2296,0.6306905360045825,0.025216969272738986,0.03405236320873477,0.008835393935995781,0.026689217609784453
CVX,DVN,8669,0.6305303125814526,0.01664859751612765,0.026190818633795864,0.009542221117668215,0.020328831815889205
TRGP,CNQ,3950,0.6297911355062025,0.030633248028124498,0.024743197041761672,0.005890050986362826,0.02441112550526329
PSX,BP,3611,0.6293774525908363,0.021123561127816888,0.01850612259131033,0.0026174385365065576,0.017222513397479218
FTI,FANG,3483,0.6290188193258308,0.027800109593041127,0.03016237940097745,0.002362269807936322,0.025054514724022026
FTI,SU,6334,0.6282970706192493,0.027381102081088595,0.024318372468167877,0.003062729612920718,0.02245857056291733
WDS,SU,4806,0.6275181817971406,0.02493510518267522,0.025577684851940247,0.0006425796692650261,0.021806822369380363
XOM,OXY,11250,0.6274707266637615,0.015665424254075792,0.022882932392799777,0.007217508138723985,0.017865446814171862
CVX,SHEL,9734,0.6270773441839155,0.016384543480670113,0.018724119062222072,0.0023395755815519594,0.015306489482131142
EOG,SLB,9288,0.6267493402190292,0.02424920941011204,0.02303953578518424,0.0012096736249277984,0.020457920877565917
XOM,SLB,11250,0.626662723346235,0.015665424254075792,0.022837641171496014,0.007172216917420222,0.017848584893151755
SU,PSX,3611,0.6263509641840755,0.021923297795437918,0.021123561127816888,0.0007997366676210302,0.018620201707173725
CVX,MPC,3813,0.6256148408791158,0.017207605510903105,0.024859320465776852,0.0076517149548737465,0.019464063204548798
EOG,TRGP,3950,0.6253844534765609,0.023562515630518265,0.030633248028124498,0.007070732397606232,0.024306121687472006
E,CVX,7733,0.6252073294198385,0.0185149362565788,0.017164618383285826,0.0013503178732929728,0.015493319220014163
EOG,TS,5958,0.6249209948025362,0.02442849071701414,0.02520614781485461,0.0007776570978404694,0.021506119038543308
KMI,COP,3904,0.6244923167435157,0.01801533455406325,0.02166623713371366,0.0036509025796504085,0.01750625016820798
HAL,DVN,8669,0.6238549111146113,0.02817351659205814,0.026190818633795864,0.001982697958262277,0.023643954452749572
SU,OXY,8236,0.6234258601385988,0.02294919083409766,0.02426872982095644,0.0013195389868587808,0.02052328907114518
CVX,OXY,11250,0.6226649593216027,0.016864239744931748,0.022882932392799777,0.006018692647868029,0.018095698501421793
TS,BP,5958,0.6223718809006964,0.02520614781485461,0.0187806473438998,0.0064255004709548105,0.019970381192011097
IMO,PSX,3611,0.6217043281392377,0.02075561679762674,0.021123561127816888,0.00036794433019014805,0.018216740864620665
TRGP,OXY,3950,0.621557011728015,0.030633248028124498,0.02745274395292693,0.0031805040751975676,0.025428950414144905
XOM,MPC,3813,0.6208258914419452,0.016130786714618404,0.024859320465776852,0.008728533751158448,0.019500903493042277
FTI,XOM,6334,0.620783262980869,0.027381102081088595,0.016426779568221337,0.010954322512867258,0.02147388911918523
